tag,geometry,damp_idx,seed,damping,Q,area,Bc,Mr,n_avalanches,B_max
square_damp00_seed00,square,0,0,2.3465917615777925e-07,15.0,0.0017206825043649923,0.0005136512846442582,0.6584241566504134,6,0.0028655616
square_damp01_seed00,square,1,0,4.06441615567529e-06,0.8660254037844386,0.0051198024273672715,0.0014798469386221383,0.9830008787022873,4,0.0028655616
square_damp02_seed00,square,2,0,7.039775284733377e-05,0.05,0.004300651880756818,0.0010818914422444056,0.5813202144217091,4,0.0028655616
triangular_damp00_seed00,triangular,0,0,2.3465917615777925e-07,15.0,0.00214986612609925,0.0006280482158097761,0.7438094588772597,11,0.0028655616
triangular_damp01_seed00,triangular,1,0,4.06441615567529e-06,0.8660254037844386,0.005608162891977527,0.001644205453997049,0.9899625357288506,4,0.0028655616
triangular_damp02_seed00,triangular,2,0,7.039775284733377e-05,0.05,0.0027083943799649625,,0.6180654929275199,3,0.0028655616
honeycomb_damp00_seed00,honeycomb,0,0,2.3465917615777925e-07,15.0,0.0016959539770523174,0.0005307494233920708,0.6343909716735465,5,0.0028655616
honeycomb_damp01_seed00,honeycomb,1,0,4.06441615567529e-06,0.8660254037844386,0.004461938534251971,0.001339322745876607,0.9793656206874728,6,0.0028655616
honeycomb_damp02_seed00,honeycomb,2,0,7.039775284733377e-05,0.05,0.004566959289643602,0.0012213135387923028,0.6020059893204731,3,0.0028655616
