t_s,B_T,M_proj,S,B_r
0.052197416595012994,0.0004,0.6999555749725086,0.7022210169439502,0.0004
0.06524677074376624,0.0004,0.7254879095418107,0.7259533313672504,0.0004
0.0782961248925195,0.0004,0.6889002651758218,0.6889243011641144,0.0004
0.09134547904127274,0.0004,0.6421032063769097,0.642141155797236,0.0004
0.10439483319002599,0.0004,0.5971512425897216,0.5974087804928006,0.0004
0.11744418733877923,0.0004,0.5553384769217944,0.5559443376782172,0.0004
0.13049354148753248,0.00039999999999999996,0.5452401080733886,0.5458755610479877,0.0004
0.14354289563628572,0.0004,0.5822738104736886,0.5825300631031083,0.0004
0.156592249785039,0.0004,0.6396086970106925,0.6396673822992905,0.0004
0.16964160393379224,0.0004,0.6719628138594784,0.6720063724957435,0.0004
0.18269095808254548,0.0004,0.658360486001505,0.6583835784061439,0.0004
0.19574031223129873,0.0004,0.6116399915305908,0.6117452365174428,0.0004
0.20878966638005197,0.0004,0.564399545484128,0.5654960353447697,0.0004
0.22183902052880522,0.0004,0.5377305127485733,0.5396903175036664,0.0004
0.23488837467755846,0.0004,0.5363935015335697,0.5385478732575685,0.0004
0.2479377288263117,0.0004,0.5609917611683326,0.5634001528060006,0.0004
0.26098708297506495,0.0004,0.5901124261178194,0.591873477705311,0.0004
0.2740364371238182,0.0004,0.590670146491717,0.5910441814989303,0.0004
0.28708579127257144,0.0004000000000000001,0.5613615034190342,0.5614276727551762,0.0004
0.3001351454213247,0.0004,0.5304119470889413,0.5309226398571587,0.0004
0.313184499570078,0.0004,0.5214520029300296,0.5217103358439598,0.0004
0.32623385371883123,0.0004,0.5455617671594412,0.5455745496170269,0.0004
0.3392832078675845,0.0004,0.5978243922921158,0.5982978207604343,0.0004
0.4045299786113507,0.00038188008555459734,0.6071579306868802,0.6073386760789161,0.0
0.41757933276010395,0.0003296826689595844,0.6073160452662744,0.6073621746570479,0.0
0.4306286869088572,0.00027748525236457136,0.5995865533628194,0.5995949033880502,0.0
0.44367804105761044,0.00022528783576955842,0.5797925444198665,0.5799675511823271,0.0
0.4567273952063637,0.00017309041917454545,0.5517273128144102,0.5523036489785478,0.0
0.46977674935511693,0.00012089300257953246,0.518466899874181,0.5195850768070988,0.0
0.4828261035038702,6.869558598451949e-05,0.4807882689183148,0.48186077916317904,0.0
0.4958754576526234,1.64981693895065e-05,0.4352352058653911,0.4355575959657717,0.0
0.5089248118013767,1.7849623602753357e-05,0.3725142878355552,0.37253434497633015,0.0
0.5219741659501299,4.394833190025974e-05,0.29528528201547777,0.29567228027437664,0.0
0.5350235200988832,7.004704019776637e-05,0.21913649163354604,0.2192941293610438,0.0
0.5480728742476364,9.614574849527274e-05,0.15311160307725527,0.15330154175785246,0.0
0.5611222283963897,0.00012224445679277933,0.10104348650466882,0.10190514273716879,0.0
0.5741715825451429,0.0001483431650902857,0.06988570448271786,0.07045063214201065,0.0
0.5872209366938962,0.00017444187338779232,0.06170632433369263,0.07784727545682779,0.0
0.6002702908426494,0.00020054058168529867,0.06882575654364682,0.10209089120559402,0.0
0.6133196449914027,0.0002266392899828053,0.08406881949584225,0.12416810794661734,0.0
0.626368999140156,0.0002527379982803119,0.11093462911341088,0.15340565185469934,0.0
0.6394183532889092,0.00027883670657781825,0.1599397361663959,0.19706310890151563,0.0
0.6524677074376625,0.00030493541487532484,0.2288471704713308,0.2532974189038861,0.0
0.6655170615864157,0.00033103412317283127,0.30666155714881804,0.3203346686358643,0.0
0.678566415735169,0.00035713283147033786,0.3833013162542176,0.3917921758330279,0.0
0.6916157698839221,0.00038323153976784424,0.4415900172588606,0.44833147820630154,0.0
0.7568625406276884,0.00034509967497849315,0.6411351009100672,0.641136281095,-0.0004
0.7699118947764416,0.00024070484178846758,0.6216468856386479,0.6233859463807988,-0.0004
0.7829612489251949,0.00013631000859844121,0.5888403098445723,0.5957309950020256,-0.0004
0.7960106030739481,3.1915175408415666e-05,0.5251459815854269,0.5400400015953187,-0.0004
0.8090599572227014,-7.247965778161067e-05,0.4241205117177016,0.448002195671708,-0.0004
0.8221093113714546,-0.00017687449097163616,0.29437835753309377,0.32497914335568223,-0.0004
0.8351586655202079,-0.0002812693241616626,0.1439800866417775,0.18553941088134665,-0.0004
0.8482080196689612,-0.000385664157351689,-0.022637951160383543,0.10082354477833744,-0.0004
0.8612573738177144,-0.00035497050472914273,-0.18652409836748168,0.20019899467619295,-0.0004
0.8743067279664677,-0.00030277308813412955,-0.3078442943767717,0.30881577112512243,-0.0004
0.8873560821152209,-0.00025057567153911675,-0.36499147745212157,0.3665273298681566,-0.0004
0.9004054362639742,-0.00019837825494410357,-0.3494263435971507,0.35872393595460933,-0.0004
0.9134547904127274,-0.00014618083834909082,-0.27063741632327903,0.2985155399818819,-0.0004
0.9265041445614807,-9.398342175407761e-05,-0.1568090035522097,0.222065806178461,-0.0004
0.9395534987102339,-4.1786005159064835e-05,-0.03733778560097315,0.16727992955256754,-0.0004
0.9526028528589872,1.0411411435948346e-05,0.0615720335291826,0.15398439956234974,-0.0004
0.9656522070077403,6.260882803096115e-05,0.12129768491975601,0.16048884143877187,-0.0004
0.9787015611564936,0.00011480624462597433,0.13489600597544865,0.1484896990355375,-0.0004
0.9917509153052468,0.00016700366122098708,0.10952539392743404,0.1104660783246673,-0.0004
1.0048002694540001,0.00021920107781600028,0.07860050262680571,0.0870578637060147,-0.0004
1.0178496236027534,0.0002713984944110135,0.06380988523234876,0.11189690803183558,-0.0004
1.0308989777515065,0.00032359591100602586,0.06309867591277213,0.14358460021273373,-0.0004
1.0439483319002598,0.00037579332760103904,0.08235493495031163,0.16282374771554317,-0.0004
1.0569976860490131,0.0004279907441960521,0.11728612311398831,0.19076296191011904,-0.0004
